_id,Date,Rain,Temp Max,Temp Min
21908,24-12-2010,0,26.67000008,12.03999996
21909,25-12-2010,0,26.06999969,13.06000042
21910,26-12-2010,0,25.15999985,12.67000008
21911,27-12-2010,0,24.85000038,12.01000023
21912,28-12-2010,0,24.81999969,11.36999989
21913,29-12-2010,0,25.53000069,10.90999985
21914,30-12-2010,0,26.22999954,12.35000038
21915,31-12-2010,0,27.47999954,13.19999981
21916,01-01-2011,0,25.44000053,14.97999954
21917,02-01-2011,0,22.62999916,14.61999989
21918,03-01-2011,0,22.09000015,10.30000019
21919,04-01-2011,0,22.48999977,10.85000038
21920,05-01-2011,0,22.11000061,10.22999954
21921,06-01-2011,0,23.5,10.18000031
21922,07-01-2011,0,22.73999977,9.909999847
21923,08-01-2011,0,23.31999969,10.35000038
21924,09-01-2011,0,23.92000008,11.67000008
21925,10-01-2011,0,22.79999924,10.51000023
21926,11-01-2011,0,20.57999992,8.949999809
21927,12-01-2011,0,21.67000008,8.130000114
21928,13-01-2011,0,22.32999992,8.539999962
21929,14-01-2011,0,23.80999947,9.819999695
21930,15-01-2011,0,24.88999939,11.52999973
21931,16-01-2011,0,25.85000038,14.40999985
21932,17-01-2011,0,22.84000015,11.35999966
21933,18-01-2011,0,23.57999992,9.270000458
21934,19-01-2011,0,25.85000038,10.75
21935,20-01-2011,0,24.54000092,11.31999969
21936,21-01-2011,0,24,10.93999958
21937,22-01-2011,0,24.13999939,10.53999996
21938,23-01-2011,0,26.44000053,11.43000031
21939,24-01-2011,0,27.30999947,12.35999966
21940,25-01-2011,0,27.55999947,14.17000008
21941,26-01-2011,0,27.25,14.85000038
21942,27-01-2011,0,26.42000008,15.28999996
21943,28-01-2011,0,25.55999947,13.88000011
21944,29-01-2011,0,25.75,13.55000019
21945,30-01-2011,0,26.57999992,15.56999969
21946,31-01-2011,0,27.54999924,16.62999916
21947,01-02-2011,0,26.78000069,15
21948,02-02-2011,0,26.38999939,13.5
21949,03-02-2011,0,26.67000008,13.22999954
21950,04-02-2011,0,27.53000069,13.64000034
21951,05-02-2011,0,28.19000053,14.56999969
21952,06-02-2011,0,29.17000008,14.73999977
21953,07-02-2011,0,30.32999992,15.27000046
21954,08-02-2011,0,32.61000061,16.39999962
21955,09-02-2011,0,30.63999939,18.31999969
21956,10-02-2011,0,29.79000092,16.54000092
21957,11-02-2011,0,30.04000092,15.64000034
21958,12-02-2011,0,30.29000092,15.63000011
21959,13-02-2011,0,31.06999969,16.98999977
21960,14-02-2011,0,32.34999847,17.37999916
21961,15-02-2011,0,33.29000092,19.22999954
21962,16-02-2011,0,32.84000015,19.79999924
21963,17-02-2011,0,29.04999924,18.64999962
21964,18-02-2011,0,27.85000038,17.87000084
21965,19-02-2011,0,27.76000023,18.95000076
21966,20-02-2011,0,26.29000092,19.12000084
21967,21-02-2011,0,23.38999939,19.37999916
21968,22-02-2011,0,27.20999908,15.31000042
21969,23-02-2011,0,28.85000038,15.56999969
21970,24-02-2011,0,29.28000069,15.11999989
21971,25-02-2011,0,29.87999916,15.23999977
21972,26-02-2011,0,29.65999985,16.79999924
21973,27-02-2011,0,30.18000031,18.29999924
21974,28-02-2011,0,29.77000046,16.62000084
21975,01-03-2011,0,29.92000008,15.73999977
21976,02-03-2011,0,31.45000076,15.28999996
21977,03-03-2011,0,32.84999847,17.95000076
21978,04-03-2011,0,34.04000092,19.48999977
21979,05-03-2011,0,34.33000183,21.06999969
21980,06-03-2011,0,34.09999847,22.15999985
21981,07-03-2011,0,33.16999817,20.89999962
21982,08-03-2011,0,33.77000046,19.81999969
21983,09-03-2011,0,34.06000137,20.68000031
21984,10-03-2011,0,33.47000122,23.21999931
21985,11-03-2011,0,31.76000023,23.30999947
21986,12-03-2011,0,31.06999969,20.29000092
21987,13-03-2011,4.732147217,32.16999817,21.55999947
21988,14-03-2011,0,32.50999832,22.28000069
21989,15-03-2011,0,32.84999847,21.63999939
21990,16-03-2011,0,32.95999908,20.28000069
21991,17-03-2011,0,33.06999969,20.90999985
21992,18-03-2011,0,32.93000031,23.04000092
21993,19-03-2011,0,34.34000015,23.42000008
21994,20-03-2011,0,34.49000168,23.81999969
21995,21-03-2011,0,35.66999817,24.27000046
21996,22-03-2011,0,34.66999817,24.57999992
21997,23-03-2011,0,34.41999817,24.64999962
21998,24-03-2011,0,33.31999969,25.23999977
21999,25-03-2011,0,30.88999939,22.60000038
22000,26-03-2011,0,33.86000061,23.20000076
22001,27-03-2011,0.178114936,31.39999962,22.82999992
22002,28-03-2011,20.96251488,30.68000031,23.04999924
22003,29-03-2011,2.366073608,30.71999931,22.42000008
22004,30-03-2011,0.195078284,30.95999908,24.67000008
22005,31-03-2011,7.29539299,32.15999985,23.13999939
22006,01-04-2011,0,32.56000137,23.92000008
22007,02-04-2011,0,32.36000061,24.94000053
22008,03-04-2011,0,32.27000046,25.46999931
22009,04-04-2011,2.09895277,30.5,23.47999954
22010,05-04-2011,20.11162376,29.81999969,20.72999954
22011,06-04-2011,0,31.75,20.20000076
22012,07-04-2011,0.173874125,33.81000137,22.46999931
22013,08-04-2011,0,34.20999908,23.5
22014,09-04-2011,0,31.77000046,24.55999947
22015,10-04-2011,0,33.09000015,23.32999992
22016,11-04-2011,0,33.84999847,24.10000038
22017,12-04-2011,0.106020801,34.66999817,24.12999916
22018,13-04-2011,0,33.25,24.89999962
22019,14-04-2011,0,33.59000015,24.65999985
22020,15-04-2011,0,32.83000183,23.64999962
22021,16-04-2011,0,34.22000122,24.87999916
22022,17-04-2011,0,34.77000046,25.10000038
22023,18-04-2011,0,34.97000122,26.62000084
22024,19-04-2011,44.16670227,32.16999817,22.97999954
22025,20-04-2011,0,33.29000092,24.03000069
22026,21-04-2011,0,34.97000122,25.34000015
22027,22-04-2011,0,30.32999992,23.39999962
22028,23-04-2011,0,33.66999817,24.63999939
22029,24-04-2011,0,33.58000183,24.13999939
22030,25-04-2011,0,32.11999893,24.18000031
22031,26-04-2011,31.54764557,30.43000031,21.65999985
22032,27-04-2011,0,31.27000046,23.12000084
22033,28-04-2011,0,31.95999908,22.69000053
22034,29-04-2011,0,32.52999878,23.37000084
22035,30-04-2011,0,32.97999954,24.04999924
22036,01-05-2011,0,33.84000015,25
22037,02-05-2011,0,33.00999832,23.67000008
22038,03-05-2011,6.901047707,33.56000137,24.65999985
22039,04-05-2011,5.915183544,30.78000069,25.23999977
22040,05-05-2011,11.83036709,31.04000092,22.69000053
22041,06-05-2011,0,33.04000092,24.94000053
22042,07-05-2011,0,33.83000183,25.46999931
22043,08-05-2011,0,32.22999954,24.22999954
22044,09-05-2011,0,35.15000153,25.46999931
22045,10-05-2011,0,35.61000061,26.02000046
22046,11-05-2011,0,34.79999924,26.45000076
22047,12-05-2011,0,35.36000061,24.94000053
22048,13-05-2011,0,35.45000076,26.11000061
22049,14-05-2011,24.72717476,34.75999832,25.97999954
22050,15-05-2011,0,34.63000107,25.72999954
22051,16-05-2011,0,34.91999817,26.64999962
